Company,TypeName,Inches,CPU_Company,CPU_Frequency (GHz),RAM (GB),GPU_Company,OpSys,Weight (kg),screen_x_size,screen_y_size,Touch_screen,IPS,Full_HD,4k_Ultra_HD,Quad_HD,Screen_Resolution_NA,Price,SSD,HDD,Flash_Storage
Toshiba,Notebook,15.6,Intel,2.5,8,Intel,Windows 10,2.0,1366,768,0,0,0,0,0,1,793.0,1,0,0
Xiaomi,Notebook,15.6,Intel,1.6,8,Nvidia,No OS,1.95,1920,1080,0,1,0,0,0,0,1199.0,1,0,0
Dell,Notebook,17.3,Intel,1.8,16,Nvidia,Windows 10,2.77,1920,1080,1,0,0,0,0,0,1549.0,1,0,0
Dell,Notebook,15.6,Intel,2.8,16,Nvidia,Windows 10,2.06,3840,2160,1,0,0,0,0,0,2397.0,1,0,0
Lenovo,Gaming,15.6,Intel,2.5,8,Nvidia,No OS,2.4,1920,1080,0,1,0,0,0,0,779.0,1,0,0
Acer,Ultrabook,13.3,Intel,1.2,8,Intel,Windows 10,1.12,1920,1080,0,1,0,0,0,0,989.0,1,0,0
Dell,Notebook,17.3,Intel,1.8,8,AMD,Windows 10,2.8,1920,1080,0,0,1,0,0,0,1085.0,1,1,0
Lenovo,2 in 1 Convertible,14.0,Intel,2.7,16,Intel,Windows 10,1.42,2560,1440,1,0,0,0,0,0,2824.0,1,0,0
Vero,Notebook,14.0,Intel,1.1,4,Intel,Windows 10,1.3,1920,1080,0,1,0,0,0,0,260.0,0,0,1
Xiaomi,Ultrabook,13.3,Intel,2.5,8,Nvidia,No OS,1.3,1920,1080,0,1,0,0,0,0,999.9,1,0,0
Lenovo,Notebook,17.3,Intel,1.6,8,Nvidia,No OS,2.8,1600,900,0,0,0,0,0,1,698.0,1,0,0
Dell,2 in 1 Convertible,13.3,Intel,1.8,8,Intel,Windows 10,1.62,1920,1080,1,1,0,0,0,0,839.0,0,1,0
HP,Notebook,17.3,Intel,1.6,8,Nvidia,Windows 10,2.5,1920,1080,0,1,0,0,0,0,914.0,0,1,0
Razer,Gaming,17.3,Intel,2.9,32,Nvidia,Windows 10,3.49,3840,2160,1,0,0,0,0,0,6099.0,1,0,0
HP,Notebook,13.3,Intel,1.6,8,Intel,Windows 10,1.49,1920,1080,0,0,1,0,0,0,959.0,1,0,0
HP,Gaming,17.3,Intel,2.8,16,Nvidia,Windows 10,3.35,1920,1080,0,1,0,0,0,0,1379.0,1,1,0
HP,Notebook,17.3,Intel,1.8,8,Nvidia,Windows 10,2.5,1920,1080,0,0,1,0,0,0,1045.0,1,0,0
